Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
271,1987,SEA,9,237,405,2712,31,21,2023,13,314,44,44,22,17,0
272,1986,SEA,10,268,453,3109,24,14,2300,15,293,42,42,35,22,0
273,1985,SEA,8,304,575,3363,28,23,1644,9,303,42,41,25,14,1
274,1984,SEA,12,283,497,3423,32,26,1645,10,282,51,50,24,20,1
275,1983,SEA,9,251,449,2973,25,18,2119,19,397,50,49,25,18,0
276,1982,SEA,4,176,326,1799,9,13,795,4,147,14,13,14,10,0
277,1981,SEA,6,307,524,3427,21,15,1594,14,388,40,37,24,15,0
278,1980,SEA,4,287,517,3096,18,23,1783,13,408,33,33,31,20,0
279,1979,SEA,9,292,523,3590,20,18,1967,24,372,46,43,23,19,1
280,1978,SEA,9,261,467,3117,15,22,2394,28,358,44,40,21,13,1
281,1977,SEA,5,175,387,2328,23,32,1964,12,373,37,33,18,9,0
282,1976,SEA,2,229,480,2649,13,30,1416,14,429,29,26,16,9,1
283,2016,SDG,5,349,580,4198,33,21,1510,10,423,46,42,32,26,1
284,2015,SDG,4,442,667,4591,30,13,1358,4,398,32,28,32,26,0
285,2014,SDG,9,380,574,4098,31,18,1367,6,348,40,40,26,22,1
286,2013,SDG,9,378,544,4328,32,11,1965,9,348,42,42,37,34,0
287,2012,SDG,7,338,528,3295,26,15,1461,4,350,39,39,27,25,1
288,2011,SDG,8,366,582,4426,27,20,1864,16,377,45,44,35,28,0
289,2010,SDG,9,359,544,4519,30,13,1810,18,322,48,48,33,27,1
290,2009,SDG,13,338,519,4338,29,10,1423,17,320,51,50,35,32,1
291,2008,SDG,8,312,478,3858,34,11,1726,13,347,46,46,32,27,1
292,2007,SDG,11,281,471,3005,22,16,2039,19,284,46,46,27,24,0
293,2006,SDG,14,287,466,3262,24,9,2578,32,303,58,58,29,26,0
294,2005,SDG,9,338,526,3495,27,16,2072,22,312,49,49,24,21,0
295,2004,SDG,12,288,450,3357,29,8,2185,24,313,55,54,25,20,1
296,2003,SDG,4,297,525,3021,21,19,2146,16,441,36,36,20,15,0
297,2002,SDG,8,324,538,3188,17,16,2137,19,367,36,35,26,18,1
298,2001,SDG,5,309,548,3505,16,18,1695,13,321,32,32,43,30,0
299,2000,SDG,1,311,578,3238,19,30,1062,7,440,27,27,25,18,1
300,1999,SDG,8,332,583,3343,12,24,1246,10,316,23,22,36,31,1
301,1998,SDG,5,261,566,2864,11,34,1728,11,342,19,19,30,26,1
302,1997,SDG,4,291,565,3089,12,21,1416,5,425,27,26,31,26,0
303,1996,SDG,8,314,577,3358,23,21,1312,7,376,31,31,36,29,0
304,1995,SDG,9,318,540,3466,17,18,1747,14,323,33,32,26,21,1
305,1994,SDG,11,305,522,3368,20,14,1852,13,306,33,33,38,34,0
306,1993,SDG,8,301,563,3143,18,14,1824,14,290,33,31,40,31,0
307,1992,SDG,11,282,496,3346,16,21,1875,18,241,35,35,32,26,3
308,1991,SDG,4,272,511,2747,13,16,2248,16,342,31,31,29,19,0
309,1990,SDG,6,246,472,2683,18,19,2257,14,281,36,34,28,21,1
310,1989,SDG,6,270,515,3037,15,19,1873,13,290,30,29,25,17,0
311,1988,SDG,6,241,468,2388,11,20,2041,11,332,27,27,20,14,0
312,1987,SDG,8,303,516,3280,13,23,1308,11,317,29,27,28,16,2
313,1986,SDG,4,339,604,3780,21,33,1576,19,396,41,39,25,16,1
314,1985,SDG,8,386,632,4870,37,30,1665,20,435,57,53,28,18,0
315,1984,SDG,7,401,662,4643,25,21,1654,18,413,47,46,29,20,0
316,1983,SDG,6,369,635,4661,27,33,1536,16,462,45,43,24,15,0
317,1982,SDG,6,208,338,2927,19,12,1121,15,221,34,32,22,16,2
318,1981,SDG,10,368,629,4739,34,18,2005,26,390,61,55,26,19,0
319,1980,SDG,11,350,594,4531,30,26,1879,18,327,48,46,36,24,0
320,1979,SDG,12,338,541,3915,24,25,1668,25,246,52,47,26,16,2
321,1978,SDG,9,271,477,3375,26,30,2096,16,309,43,37,22,18,0
322,1977,SDG,7,206,369,2244,11,20,1761,10,205,24,21,23,17,0
323,1976,SDG,6,223,388,2416,17,18,2040,13,285,31,26,20,10,0
324,1975,SDG,2,165,337,1610,7,17,1801,14,345,22,21,24,12,0
325,1974,SDG,5,165,349,2304,12,22,2111,15,285,28,26,16,6,0
326,1973,SDG,2,161,363,1808,9,30,1814,9,386,22,20,27,12,0
327,1972,SDG,4,192,377,2304,15,28,1995,12,344,30,28,31,18,1
328,1971,SDG,6,244,450,3134,23,28,1604,11,341,37,36,29,17,1
329,1970,SDG,5,192,387,2503,24,19,1450,9,278,35,34,19,12,1
330,1969,SDG,8,208,444,2626,13,21,1985,18,276,33,33,28,15,0
331,1968,SDG,9,225,472,3623,29,33,1765,12,310,43,40,32,22,1
332,1967,SDG,8,230,463,3410,26,24,1715,14,352,45,45,30,15,0
333,1966,SDG,7,224,434,3016,29,15,1537,9,284,40,39,31,16,1
334,1994,RAM,4,291,512,3358,23,18,1389,6,365,28,28,23,18,1
335,1993,RAM,5,247,473,2790,16,19,2014,8,367,25,23,23,16,0
336,1992,RAM,6,289,495,3218,23,20,1659,12,383,38,38,20,15,1
337,1991,RAM,3,289,518,3410,13,20,1285,11,390,26,25,17,17,1
338,1990,RAM,5,310,561,3818,24,17,1612,17,412,43,42,24,15,0
339,1989,RAM,11,308,523,4133,29,18,1909,19,344,51,51,30,23,0
340,1988,RAM,10,312,522,3805,31,18,2003,16,293,48,45,32,24,1
341,1987,RAM,6,220,420,2554,16,18,2097,15,361,38,36,21,17,1
342,1986,RAM,10,194,403,2196,15,15,2457,16,267,35,34,24,17,1
343,1985,RAM,11,234,403,2463,16,14,2057,15,277,39,38,29,22,1
344,1984,RAM,10,176,358,2142,16,17,2864,16,316,38,37,33,25,3
345,1983,RAM,9,286,489,3221,23,23,2253,20,344,46,42,20,11,2
